	Мария Грипе

	Полицей нағыз азамат адам болып шықты. Гүлзарларды сиретіп, күзеу дегені оның көкейіне де қонып қалды. Эльвиспен сөзге келместен келісті. Тек одан аңдаңқырауын өтінді. Кейбір полицейлер бұл істің мән-жайын түсінбейді деді ол. Эльвис оның айтқандарын ұқты. Енді ол паркке өзге амалы таусылғанда ғана баратын болды, онда да құлағын түріп, өзін сақ ұстайды.Өкінішке орай таныс полицей тұратын үйдің айналасы түп-түгел асфальтталып тасталыпты.Эльвистің оған арналған гүлді құмыраға егіп, пәтерінің есігі алдына қойып кетуіне тура келді. Ол қаланың барлық парктерін аралап шығып, ең әдемі роза гүлін таңдап алды. Шындықты айтуы керек, бұл гүлді өсіп тұрған жерінен қозғап, қайта отырғызудың еш қажеті жоқ болатын, осы арада Эльвис өзінің ұстанған қағидасын өмірінде бірінші рет бұзды, бірақ полицей бұған тұратын адам еді. Эльвис гүл өліп қалмас па екен деп қобалжып еді, ештеңе етпепті, нығайып өсіп кетіпті. Ал кейіннен оның терезе алдына қойылғанын көрді. Роза гүлі алыстан-ақ мен мұндалап көрініп тұрды.

	Атасы Эльвиске жасыл түсті гүл суғарғыш сыйлады. Атасы деревняда тұрады, сондықтан ол кісі тұқымдар мен гүлдердің жайын әжептеуір біледі, білгіштігі мүмкін тек Эльвистен сәл төменіректеу болар. Әрбір кездескен сайын олар өзара тәжірибе бөліседі. Олар — нағыз достар.

	Мамасының айтуынша, атасы жұтқыншағынан ащы суды өткізуді жек көрмейді. Қалаға келген сайын ол өзімен бірге ширек литрлік шөлмекті тығып ала келеді. Эльвис бірақ атасының не істесе де еркі өзінде деп есептейді. Кейбірде мамасының әлгі шөлмекті атасынан жасырып қоятыны бар. Ондайда Эльвис мұны байқап қалады да, артынша атасына тауып алып береді. Мамасының атасына неліктен Эльвис сияқты қарамайтыны түсініксіз? Оған бола бекерге қорқады. Ол — дүниеге әлі бұл келмеген кезден өмір сүріп келе жатқан адам. Оған біреудің қам жегені қажет емес, өз жөнін өзі біледі.

	Гүл суғарғышты Эльвис темір жол кеңсесінің ішіне қойып жүр. Сол арадан алып оған су толтырады да, аралап жүріп, отырғызып қойған гүлдерін суғарады. Жаңбыр жаумай қалатын кездер болады. Эльвис мұндайда бүкіл қаланы кезіп жүріп, гүлдерін түгел суғарып шығады.

	Ол көшедегі сушүмектердің барлығын дерлік бес саусағындай біледі. Бірқатар бақтарда әлі тіпті көнелері де сақталған. Теп-тегіс асфальтталып тасталған жаңа кварталдарда бірақ қиынырақ соғады. Су табу үшін бір қиырға шапқылайсың. Ол бірақ мойыған емес бұған. Гүлдердің барлығы да суға қанады.

	Жер бетінде гүлдердің мұншалықты көп болғаны қандай жақсы, әркім өз талғамына сай гүлді таңдап ала алады. Адамдар да әр түрлі ғой. Әлдебіреуге гүл таңдап алу да әр кезде оп-оңай шаруа емес. Кейде кәдімгідей-ақ басты қатырып ойлануға тура келеді.

	Эльвис бәрінен де Юлияның бағына отырғызған өзінің күнбағысын мақтан тұтады. Бұны көктемде, дәл оның терезесінің түбіне отырғызды. Үйді бұзатын болған еді, бұған Юлия кереметтей қайғырып жүрді. Петер де қайғырды, бірақ олардың қолынан ештеме де келмеді.

	Эльвистің оларға көмектескісі келді. Бұл екеуін де қатты сыйлағанымен, Юлияны ол азырақ танитын да, ал Петерді мүлде танымайтын.

	Петер — Юлияның «кешкіліктегі папасы». Ол бұлардың үйіне кешке, Юлияның мамасы жұмысына —- ауруханаға асығып кеткен кезде келеді де, түні бойы сонда болады. Таңертең оның мамасы ауруханадан келеді де, ал Петер өзінің шаруаларымен кетеді, сондықтан да олар еш уақытта бір-бірлерін кермейді. Олар ерлі-зайыпты адамдар емес қой.

	Юлиялардың үйлерін бұзатындығы Эльвиске де ауыр тиді. Ол қолынан келгенше Юлияға көмектескісі келді. Ал егер үй алдына әлемдегі ең үлкен күнбағысты өсіріп қойса қалай болар екен? Сонда мүмкін үйді бұзуға ешкім де дауаламас...

	Эльвис бұдан соң күнбағыстың ұрығын алып, Юлияның терезесі алдына әкеліп жерге көмді. Күнбағыс көп өтпей өскін берді де, күн санап өсе берді, бір уақта гүлін де ашты. Үйді бұзбаққа экскаватор келген күні күнбағыс гүлі әжептәуір болып қалған еді. Экскаваторшы үйді бұзған жоқ, үй әлі күнге шейін сол күйі, бүп-бүтін орнында тұр.





4


	Эльвистің туған күні жақын арада емес, сонысы да жақсы. Туған күн деген де бір — рождество алдындағы шоқыну мейрамы да бір. Бұл — «рақымсыздық күні». Шоқыну мейрамынан біраз күн бұрын мамасы оған мынандай ескерту жасайды:

	— Абайла, езіңді тәртіпті ұстайтын бол, менің айтқандарыма құлақ салып және бәрін де екі еткізбей орындап жүр. Әйтпесе саған Аяз Ата келмейді. Телефон соғамын да, бұл — өте жаман бала, сыйлық әкелме деп айтып қоямын.

	Мамасы бұны оған шоқыну мейрамына дейін күн сайын қайталап отырды. Және әрдайым да рождество мерекесіне саған қандай ойыншықтар сыйлау керек деп сұрауды ұмытпай қойды. Ол не деп жауап берсін?

	Біріншіден, ойыншыққа бола мамасының Аяз Атаға телефон соғуы тіпті де қажет емес. Папасына айтса жетіп жатыр.

	Екіншіден, өзінің нені қалайтынын, нені армандайтынын айтуға оның құлқы жоқ. Мұны айтуға болмайды — оның арманы өте-мөте маңызды нәрсе, ал маңызды нәрсені адамның өзі табуы керек. Ол үшін ешкім де іздемек емес. Және де өзіңе не қажет екенін асықпай ойлап-пішіп алғаның жөн, ал бұл үшін уақыт қажет. Эльвистің асыққысы келмейді, ол алды-артын ойлайтын байыпты адам. Бірақ мамасы асықтырып барады:—Саған не сыйлау керек,—дейді. Неге асықтыра беретініне Эльвис түсінбейді, саған ештеңе де әкелмейді деген жоқ па еді өзі.

	Бұл, сірә, мамасының әшейін бір ермек етіп жүрген ойыны сияқты бірдемесі шығар, бәрібір рождествода бұған да әдеттегідей қажетінше сыйлықтар беріледі. Кейін телефонмен сөйлесетін құрбыларына Эльвистің қанша сыйлықты иеленгенін айтып, хабарлау үшін шоқыну мейрамы күні кешкілікте дағдыдағыдай сыйлықтарды санап шығады.

	Құрбыларының балаларына мұншалықты көп сыйлық сыйламайды екен деп отырады кейіннен мамасы. Эльвиске әрдайым көп сыйлайды екен. Эльвис сонда да жақсылықты білмейді, дұрыстап рақмет айтуды да білмейді дейді мамасы.

	Қалайша жақсылықты білмейді ол? Рақмет айт десе, ол сол бойда екі еткізбей айтады. Сыйлықтардың көптігі сонша, бәрін бірден ұстап көру мүмкін емес, бұлардың барлығын не істейтінін де білмейді. Жалпы ойыншық — ойыншық қой, ол мүлдем басқа нәрсені қалайды. Бұған дейін бірнеше апта бұрын мамасы:

	— Саған туған күніңе не сыйлау керек? — деп сұрайды.

	Сонан соң іле-шала өзіңді дұрыс ұстамайтын болсаң түк те алмайсың деп тағы ескертеді. Одан әрі ол әжең де, басқа туыс-туғандар да сенің нені қалайтыныңды білулері керек дегенді айта бастайды. Сол арада сенің сыйлықты алуға лайықты дәнемең де жоқ деп тағы қайталайды. Мамасы, қазір көр де тұр әжесіне және басқа туыс-туғандарға звондап, Эльвиске олардың ештеме де әкелмеулерін айтады.

	Сөйте тұрғанмен де туған күннің сәтті сағаты соққанда түк те болмағандай жұрттың бәрі жиналады, үй іші қонаққа толады, мамасының торты да пісіп, дайын болады, кофе ішіледі және Эльвис өзін құттықтаушылардың барлығынан сыйлықтар алады. Және мамасы өзіне рақмет айтуды ескертіп тұрған сайын әрқайсысына «рақмет» дейді, керек десе бірнеше қайтара айтады. Кейіннен мамасы бәрібір оны «рақметті дұрыс айтпадың» деп кінәлайтыны анық. Осының бәрі — жұртқа алғысын да дұрыстап айта білмейтін жақсы бала еместігінен.

	Әрбір шоқыну мейрамының да, әрбір туған күннің де осылайша қап-қара рақымсыздық күніне айналатын себебі де, міне, сондықтан. Маған салса осының бірі де болмаса екен деп ойлайды Эльвис.

	Мұндай күндерде өзге балалар әдетте өздерін жақсы ұстайды. Олар сыйлық алғандарына қуанып, әдепті түрде алғыс айтады дейді мамасы. Демек, Эльвистің осындай күндерде де басқа балалардай еместігі айқынырақ байқалатын болса керек.

	Эльвистің туған күніне тек атасы мен әжесі ғана келмейді. Атасы бәрін түсінеді. Эльвис оған шындықты айтады. Атасы онымен келіседі. Алдын-ала көп уақыт бұрын біліп жүретін әлдеқандай бір күндердің бар екендігі және сонда үй іші кофе ішісіп, бір-бірінің сөзін бөліп мылжыңдасып отыратын қонақтарға толатындығы Эльвиске тіпті де ұнамайды. Атасы да солай дейді, мұның несі мереке?

	— Ең дұрысы, өзіңе керек болған кезде шақыр мені,— деді атасы.

	— Сен тек хабар берсең болды,— дейді атасы,— мен жетіп келемін. Айтқан заматыңда, сол күні сенің қасыңнан табыламын.

	Эльвис әзірге атасын қонақ болып кетуге шақырған жоқ. Ол бұл шаруаны кейінге сақтап жүр. Қиялдап, армандап жүруге де бір себеп қалуы керек қой.

	Мұның есесіне Эльвисті әжесі әр жылда ыждағаттап құттықтап жүреді. Бірақ тек оның туған күнінде емес. Юханның туған күнінде құттықтайды.

	Юхан — папасының інісі, ержетіп үлгермей, жастай дүние салған. Ілкіде Юханның өлі-тірі екенін Эльвис білмей жүрді. Оған бұл жайлы ешкім айтпаған еді. Үлкендер оған мұны айтуға қорқады. Өйтетін себебі — туғалы оны Юханның киімдерімен киіндіріп келеді. Шындықты біліп қойса, сірә, киімдерді кимей қояды деп қорқатын болса керек. Сондықтан да олар ылғи бұған Юхан жолаушылап кеткен дейді. Қайтып оралмастай алысқа кеткен дейді олар. Эльвис бұрын Юханның үйден мәңгі-бақиға қайтып оралмасқа кеткені қалай деп ойланатын.Мүмкін ол да ата-анасының күнәлары үшін жіберген құдайтағаланың жазасы болды ма екен? Мүмкін әжесі Юханды өзі пір тұтатын адамына ұқсата алмай қойған болар? Әлде Юхан да футбол ойнауды үйрене алмай қойды ма екен?

	Егер де солай болса, онда Юханның үйден безіп кетуі әбден дұрыс деп ойлады Эльвис. Әрине, о бірақ бүйтуге дауаламас еді. Ол осында қалғысы келеді. Өйткен себебі, ол дүниеге көз ашқалы осы да өмір кешіп келеді және айналасы толған таң-тамаша қызықтар. Барлық жерде оны қызықты ойындар мен әр қилы істер күтіп тұрады. Құпия да осында.

	Жоқ, Эльвис қашып кетпейді. Юханның жайы мүмкін басқаша болған шығар. Мүмкін оның айналысатын қызықты істері оншалық көп те болмаған шығар. Юханның тіпті де ешқайда кетпегенін, Юханның өлгенін естіп, шындыққа көзі жеткенше Эльвис бұрын осылай ойлайтын. Эльвиске бұл шындық төтеннен белгілі болды.

	Үлкендер Юханның әлжуаз болғанын өмір бойы ауырғандығынан дейді. Оның киім-кешектерінің барлығы су жаңа сияқты болғандығы да сондықтан. Киім-кешектерін тез тоздырып тастауға ол әлсіздіктен шамасы келмеген дейді үлкендер.

	Сонда барып Эльвис Юханның қандай сапарға жолаушылап кеткенін түсіне қойды. Бұл әлгі барлық өлгендердің аттанатын сапары. Мамасы еш уақытта бірақ өлген деген сөзді айтпайды. Ол ылғи да бұл сөзді «кетіп қалған» немесе «біздерді тастап кетті» деген сияқты етіп өзгертіп айтады. Әжесі де солай.

	Олар шындықты айтуға қорқады. Бұл да бірақ бәрін түсініп қойған адамның кейпін көрсетпейді, бұл да қорқады. Үлкендердің бұған қалай қарайтынын кім білген. Балаларға білудің қажеті жоқ нәрсені бұл біліп қойған тәрізді. Мұндай қайғылы ауыр жайттерді баланың білмеуі керек.

	Мамасы мен папасының қайғылы нәрселерді айтудан қорқатынын ол байқап қалған. Және олар да мұны қорқады деп ойлайды. Бірақ та бұның қорқатыны — тек қана олардың қорқатындықтарынан ғой. Сондықтан да ешкім шындықты айтпайды. Эльвистің көзінше бәрі де Юханды тірі ғой деген тәрізді түр көрсетеді. Бұл да сөйтеді.

	Ал әжесі бұрынғысынша Юханның туған күнін атап өтеді. Бұл күні ол қалаға келіп, Эльвисті құттықтайды. Юханның бөлмесінде ойыншық салынған жәшік тұр. Эльвис әжесі мен атасының үйіне барғанда әжесі оны Юханның бөлмесіне кіргізеді де, ойыншық салынған жәшіктің қақпағын ашып, алдына қояды. Оған тек ойыншықтарға қарауға ғана рұқсат етіледі, бірақ қолын тигізуге болмайды. Юханның туған күні болғанша күте тұру керек дейді әжесі. Бұл ойыншықтарды ол сонда ғана алады. Әжесі сөзінде тұрды. Әуелі Эльвис сыйлыққа аюдың қонжығын алды. Бұл ұйпа-тұйпасы шығып әбден тозған, көздері бақырайған ойыншық қонжық болатын. Бұны Юханға екі жасқа толғанда сыйлапты. Бұл ойыншық қонжықтың аты жоқ. Юхан бұған ат қоймапты, жай ғана «аюдың баласы» деп атаған деп сендірді әжесі. Эльвис бұл турасында өзінің не ойлайтынын айтып әжесін өкпелеткісі келмеді. Юханның бұған ат қойғаны айдан анық қой, тек мұны ол ешкімге айтпаған. Эльвис барлығын түсінеді. Оның өзі де сөйтер еді. Мәселен, оның ойыншық маймылының атын білу мамасына не үшін қажет? Әйтеуір бірдеңе айтып құтылу үшін ол мамасына бірде: «Маймылдың аты — Пелле» дей салған. Бірақ бұның шын аты мүлдем басқаша. Оның шын аты — Құпия, Эльвистің жалғыз өзіне ғана аян. Мамасының телефон арқылы «әлгі анау кір-кір сабалақ Пелле» деп жатқаны Эльвиске сонда, шыны керек, күлкілі естіледі. Оның маймылының аты басқа ғой, мамасы мұны білмейді.

	Эльвистің әжесі мен атасының үйіндегі ойыншықтар салынған жәшікті алғаш көргеніне де біраз жыл өтіп кеткен. Көп ұзамай енді Юханның ойыншықтарының барлығы оған біржола көшіп бітетін болады. Юханда өйткені ойыншық деген көп те болмаған ғой.

	— Эльвис ырза болуға тиіс,— дейді мамасы.

	Шындығында да Эльвис Юханның заттары үшін кәдімгідей-ақ риза. Бірақ, әжесі өзіне ырза болып алғыс айтқанды қаламайды.

	— Сен маған емес, Юханға алғыс айт!—деп отырады ол ылғи.

	Мамасы бұны жөнсіз, дұрыс емес деп есептейді, Эльвис бірақ әжесінің тілегін орындайды. Қасында ешкім жоқ кезде, оңашада ол Юханға алғыс айтады.

	Әсіресе оның екі затқа көңілі қатты толады. Бұлардың оған Юханнан қалғанын ешкім де білмейді. Ешкім оған бұны Юханның заты деп сыйлаған жоқ.

	Ол бұл заттарды әр-әр кезде Юхан киген күртешелердің қалтасынан тауып алған еді.

	Бұл — өрнекше тастың сынығы мен кішкентай кілт болатын...

	Белгісіз бір құлыптың кішкене кілті мен жұмбақ өрнекшенің әлдеқандай сынығы. Осындай заттарды, міне, Эльвистің сыйлыққа алғысы келеді. Бұларды қолыңа ұстап тұрып, неге қажеті болғанына ой жіберіп, шұқылап, әурелеп көресің. Бұлар басқа бір жұмбақ нәрселердің қажетті бөлшегі болған. Жұмбағы да, құпиясы да аяғына дейін толық белгілі болмайтын заттар бұл. Бір кереметі — өзіңе бұның не құпиясын білу қажет екенін де тап басып бірден айта алмайсың. Ал әлдеқалай біле қалсаң, кереметтің де кереметі болар еді.

	Кілт Юханның жазғы күртешесінен табылды. Өзі кішкене ғана, күн көзіне жарқырап, жалтылдап тұрады. Өрнекшенің сынығын Эльвис Юханның қыста киетін пенжегінің қалтасынан тапты. Қалпы орғып бара жатқан қоянға ұқсайды. Қоянның түсі — ақшыл көк. Өзінің бар-жоғы жалғыз көзі бар. Оның өзі де тиісті жерінде емес, арқасында орналасқан. Үлкен және бір түрлі қап-қара көз. Ненікі екенін білмей тұрып, көзге қараудың өзі түсініксіз. Қоянның көзі емес екені әйтеуір анық қой. Бұл өз орнын таппай тұрған көз.

	Эльвис Юханның қазынасын тығып қойды. Ол бұларды ылғи да өзімен бірге алып жүргенді жек те көрмес еді, бірақ бүйтуге тым қауіпті. Мамасы оның киімдерін жиі-жиі тінткілеп, тазалап қарағыштап жатады. Және тағы да қайталап тазалайды, қайталап тінткілейді, мұндай жағдайда бірдеменің қалтарыс, жасырын қалуы мүмкін емес. Және де бұл қазынаны оның жасыратыны, Юхан да сөйткен, сырт көзден тасалағанды жақсы көрген ғой. Кішкентай кілт қалтаның ішкі астар жағында жатқан еді, өрнекшенің сынығы да тап сондай жерде, бірақ тек пенжегінің ішкі қалтасы жағында болатын. Әжесінің бұларды кезінде таба алмағандығы да сондықтан. Демек, сірә, бұларды Юханның өзі тыққан болды. Енді Эльвиске оның құпиясын сақтау керектігі өзінен-өзі түсінікті.

	Эльвис өзімен бірге дачаға апарып, сонда жасырды. Сарайдың түп жағындағы текшеленіп жиналған отын ағаштарының ең астына тықты. Отын ағаштарының ең астында, өзін суырып алсаң да, үстіңгілері құламайтындай бір ыңғайлы жерде жатқан кеспелтек бөрене бар-тын. Бұл бөренені Эльвистің өзі ғана біледі. Өрнекшенің сынығы мен кішкентай кілт соның астында жатыр.





5


	Эльвис те басқа жұртпен бірге Юлияның үйін қиратылудан қорғады. Бұл күн өзгеше бір мейрам сияқты болды, балалар сабын көбігінен жел-көпіршіктер үрледі, музыка ойналды және айнала қарақұрым, у-ду адамға толды. Көңілді болды керемет.

	Содан соң Юлия жүріп кетті де, үй қаңырап бос қалды, бақ іші құлаққа ұрған танадай жым-жырт болды.

	Бәрі бірден көңілсіз болып сала берді. Эльвис Юлияның үйін кәдімгідей-ақ қимады. Басқа балалар да өздері осында жиналып ойнаулары үшін үйдің бұзылмағанын қалаған болатын. Осындай күйге түсіп, қаңырап бос қалуы үшін қорғаған жоқ еді ғой олар бұл үйді.

	Кей-кейде Эльвис осы үйдің суретін салған суретші Ниссемен кездесіп тұрды. Ол жұрттың барлығы бұл үйдің қандай әдемі екенін көріп, мұны бұзуға болмайтынын білсін деген еді. Эльвис пен Ниссе — дос. Олардың достығы Эльвис Ниссеге күнбағысты көрсеткен кезден басталған болатын. Күнбағысты ол Юлияның терезесі алдына үйдің әдемілене түсуі, сөйтіп, бұзылудан аман қалуы үшін тап сол бір кездерде отырғызған-ды. Бұны ол өте тамаша ойлап тапты. Ниссе сонда одан күнбағыстың суретін салуға бола ма деп рұқсат сұраған. Эльвис қарсылық білдірген жоқ. Ниссе сонан соң бойы тұп-тура Юлияның терезесіне жетіп қалған күнбағыстың суретін салды. Ол бұны суретте гүлдеп өсіп, кейіннен табақтай сарғыш күнқағары болатын кезіндегідей етіп бейнеледі.Сурет өте әдемі болып шықты. Күнбағыс қазір әлі сол суреттегідей үлкен болып өсе қойған жоқ. Дегенмен де, бірақ биіктеп келеді. Эльвис күн сайын деуге болады, Юлияның үйіне келіп, күнбағысты бақылап кетіп тұрады.

	Ниссе әр кез жолыққан сайын одан күнбағыстың қалай гүлдеп тұрғанын сұрайды. Ал Эльвис одан Юлия мен Петер жайлы сұрайды. Ниссе олардың қайда екенін білмей ме екен?.. Эльвис оларды сол күнгі мейрамнан кейін көрген жоқ еді. Ниссе де көрмеген болып шықты. Мүмкін олар демалуға кеткен болар дейді ол. Юлияның қазір каникулы ғой. Олар жаңа оқу жылы басталғанша оралмайтын да шығар. Үйдің қаңырап тұрғаны Ниссенің де жанына батады. Мұндайды ол да күтпеген еді. Оның да көңілінің құлазуы Эльвистікінен бірде-бір кем емес.

	Әлдеқалай бірде Эльвис баққа бара қалып еді, онда адамдар жүр екен. Алғашқыда ол ақыры әйтеуір қолға алатын болған ғой деп қуанып қалып еді. Қателескенін бірақ соңынан түсінді.Оны тіпті әлгі адамдар бақтың ішіне кіргізбей қойды. Боқмұрындарға бұл арада істейтін шаруа жоқ деп, оны қуып жібереді барған сайын. Содан бері енді үйдің маңында әлдеқандай бөтен жігіттер топырлап жүріп алатын болды. Эльвиске де күнбағысты күтіп-баптау қиынға айналды. Бақтың ішіне енді кіре алмайсың — әлгілердің кетуін күтуің керек. Қалай болғанмен де, бірақ күнбағысты тастауға болмайды ғой. Эльвистің кәдімгідей абыржып жүргендігі де сондықтан.

	Бұл араға қай-қайдағы жаман жігіттердің үйір бола қалғанын қайтерсің. Бұлар барлығын қиратып, бұзып, бақырып-шақырудан басқа түк бітірмейді. Үйге қарамайды. Қайта керісінше, терезе әйнектерін ұрып, сындырады, есік құлыптарын қиратады. Үйдің ішінде жосылып жүріп, көздеріне түскен нәрселердің бәрін шетінен тас-талқан етіп бүлдіреді, қоқыстарды терезеден лақтырады. Есіктерді теуіп ашады. Сыртқы есік енді жабылмайтын болып қалды. Желге сарт-сұрт ашылып-жабылып тұрады.

	Бақ іші адам көргісіз. Бұл бақ емес, автомобильдердің қорымына айналды. Әлгі жігіттер бұл араға көне машиналарды сүйреп әкеледі де, тас-талқанын шығарып бұзады. Бүкіл бақтың іші тат басқан темірден аяқ алып жүргісіз. Олар гүлдерді таптап, ағаштардың бұтақтарын жұлады. Сыраның шишаларын, полиэтилен қалталарды, ескі газеттерді бақтың кез-келген жеріне шашып тастап жүре береді. Айналаның бәрі қоқыс.

	Үй қарадан-қарап тұрып құрып барады, ал олардың бұған уайым-қайғысы аз, тек әркімді бір келеке-мазақ етуге ғана жібер бұларды. Күнбағыстың бүлінбей, аман-есен тұрғанына да шүкір. Бұл жігіттердің әдемілік атаулысының бәрін тып-типыл етуге жүздері жанбайды. Бірақ, сірә, олар бұның күнбағыс екенін білмейді, жай бір ескен шөп тақілеттес бірдеңе деп ойлайтын болар. Күнбағыстың әлі гүлдеп үлгермегеніне де тәубе.

	Бақта ешкім жоқ кезде Эльвис бұның ішін аздап та болса жинақтап, тазалап қоюға тырысады. Бірақ мұнысы зая кетеді, келесі күні барлығы бұрынғы қалпына түседі. Және де кесек-кесек темірлерді сүйрелеп әкетуге оның күш-шамасы жетпейді ғой.

	Бұл балалармен тілдесіп, сөзге келуге оның батылы жетіңкіремейді. Олар бұдан әлдеқайда үлкен, тіпті ересек болып қалғандар. Оны төмпештей салу бұларға түк те емес. Және оның үстіне оның адамдармен сөйлесуге икемі аз, ештеңені дәлелдей де, иландыра да алмайды.

	Осының бәрін айтып, мұң шағатын адамы да жоқ оның. Мамасы мен папасының Юлия үйіне тіреліп тұрған ешқандай да шаруасы жоқ. Ал оның таныстарының барлығы қазір басқа жақтарда жүр. Тіпті Ниссе де кетіп қалған. Айналып келгенде Юлияның үйіне қатысы бар адам жалғыз өзі ғана болып қалды.

	Бірде ол сол араға тағы келді, бақта ешкім жоқ деп ойлаған. Кенет, бірақ, біреудің соңынан ілесіп келе жатқанын сезе қойды. Эльвис мұндай нәрселерді ылғи да сүзгіш болатын. Тіптен құйтақандай кезінде бесік-арбада жатқан мезгілден солай. Біреу қараса болды, оянып кетеді. Эльвис дереу сақтанып жан-жағына қарай бастады. Каштан ағаштың басында үкі қонақтап отырды. Эльвис барды да ағаштың астына тұрды.

	Үкі төменірек жерде отырған еді, сөйтсе де Эльвистен үріккен жоқ, ұшып та кетпеді. Эльвис бірден таныды: бұл Петердің үкісі, қолға үйретілген. Петер оған қалаған жерінде ұшып жүре беруіне ерік берген.

	— Үкішігім!— деп шақырды ол құсты. Ол Петердің бұны солай атайтынын білетін-ді. Мүмкін Петер енді қалаға қайтып келген де шығар... Қандай жақсы болар еді...

	— Үкішігім! - деп қайталады Эльвис.

	Үкі дүр сілкініп алды да, тура Эльвиске қарай ұша жөнелді. Ол қозғалмастан тұра берді: оған түк те қорқынышты емес еді. Үкі жайлап қана келіп, оның басына қонды. Эльвистің екі бетінің ұшы бал-бұл жанып, мәз болып тұрды. Үкішік Петер мен Юлиядан бөтен кез-келген адамның басына кеп қона бермейтін. Міне, ол шақырып еді, үкі ұшып келді де, тура төбесіне қонды. Эльвистің енді тырп етіп қозғалуға батылы жетпей тұр, ал үкі болса, төбесінде емін-еркін жайғасып алған.

	Кенет ол ұша жөнелді де, Эльвистің үстінен бір-екі айналып барып, терезенің сынық көзінен үйдің ішіне еніп кетті. Эльвис оның соңынан асыға жүгірді. Әрине, үкі ұшып кірген жерден өткен жоқ, терезеге оның бойы да жетпес еді. Эльвис үйге үлкен есік арқылы жүгіріп кіре бергенде үкі алдынан қарама-қарсы ұшып шыға келді. Сонан соң кілт бұрылып кейін ұшты, ол артынан жүгіре ілесті. Сөйтіп, екеуі де сол күйі бөлмелердің біріне барып кірді.

	Бұл бөлменің іші адам көргісіз еді. Қақ ортасында шкафтың қираған жаңқалары жатты. Сірә, каминге от жаққанға ұқсайды. Әр-әр жерде күйенің қара дақтары шөгіп қалған. Үкі қанатын сабалап, ұшып кіргенде күйенің қап-қара бұлты аспанға көтерілді.

	Үкі әлгі жаңқаларға төніп келіп, арасынан тұмсығымен бір дәптерді, кәдуілгі мектеп дәптерін іліп алды. Дәптерді тұмсығымен тістеген күйі қайта келіп, Эльвистің төбесіне қона берді. Эльвис үкінің төбесінде отырғанын жақсырақ сезіну үшін бас киімін шешіп алды.

	Бұл өзі өте бір жағымды әсер болды. Эльвистің кеудесін күлкі қысты. Ол күлкісін әрең ұстап, пырс-пырс етіп тұрды, ал үкі қанаттарын қатты-қатты қағып, сабалай берді. Екпінінің қаттылығы соншалық, Эльвис шайқалып кетті. Үкі дәптерді тұмсығынан түсірген жоқ, тура Эльвистің мұрнының үстінде салбырап тұрды. Кенет үкі дәптерді тастап жіберді. Дәптер еденге түсті. Бірақ үкі сол күйі Эльвистің төбесінде табандарын алма-кезек көтеріп, қанаттарын сабалап, отыра берді. Ақырында ол шыдай алмады, күлкінің тығынын ағытып кеп жіберді. Үкішік үркіп кетті де, көтеріле түсіп, бар екпінімен оның төбесіне қайта жалп етті.

	Осы сәтте әлдекімнің адымдап жүргені, табан астындағы қиыршық тастардың шықыры естілді.Петер болмаса игі еді деген ой келді Эльвистің басына.

	Үкінің бірақ өзгере қалған түріне қарап, Эльвис өзінің қателескенін түсінді. Үкі жүнін үрпитіп, айбаттана қалды. Эльвистің төбесінен орын ауыстырып, иығына кеп қонды.

	Әлдекім есіктің тұтқасынан ұстай бергенде үкі үйдің төбесіне қарай көтеріліп кетті. Есік ашылып, әлгінің басы қылқиып көріне берген кезде үкі оқтай атылып, дүрсе қоя берді. Және анау-мынау емес, шақар қиқумен атойлағанында келімсектің алды-артына қарауға да мұршасы келмей, тырақайлай қашты. Бұл әлгі сол залым жігіттердің бірі, сірә, ең залымының өзі болса керек. Үкі оның артынан қақпаға дейін қуалай ұшты. Эльвис әлгінің секіріп міне caп, машинасын орнынан жұлқи жөнелгенін терезеден көріп тұрды.

	Үкі де үшті-күйлі жоғалды. Мүмкін ол машинаның соңынан қуалап кеткен болар, енді қайтып оралмас та? Эльвис жападан-жалғыз қалды.

	Үйдің іші қап-қараңғы. Оның енді бұл арадан тез кеткісі келді. Өзі оның үстіне тоңып та қалды. Эльвис есікке қарай ұмтыла түсті де, қалт бұрылды. Дәптер! Ол мүмкін Юлиянікі шығар. Мұнда қалдырып кетуге болмайды, әлгілердің жыртып тастаулары мүмкін. Міне, жатыр екен! Эльвис еденде жатқан дәптерді алды да, үйден жүгіре шықты.

	Дәптердің сырты жырымдалған, лас болатын. Ал ішкі парақтары тап-таза, тек соңғы бетінде әлденендей жазулар бар, Міне, ғажап. Юлия дәптері шынымен-ақ артынан бастады ма екен? Бұл арада мүмкін әлдеқандай құпия жатқан болар?

	Юлия және дәптерді өзімен бірге неге алып кетпеген? Ол әдейі біреулер дәптерді тауып алып, өзінің жазып кеткенін оқысын деді ме екен? Дәптердің басқаның емес, Эльвистің қолына түскені қандай жақсы болды десеңші. Соңғы бетінде бар-жоғы бірнеше-ақ сөйлем бар еді. Эльвис бұған қадалыңқырап біраз тұрды, бірақ ештеме де түсінген жоқ. Ол оқи алмайтын еді.

